droplet_number,voltage_stop,voltage_rise
1,240,539
2,101,197.8
3,111,216
4,132,255.4
5,139,295.4
6,166,214.6
7,242.5,461.7
8,250.5,521.4
9,554.6,681.4
10,430,680
11,231.6,432.6
12,120,259.7
13,259.7,677.5
14,280,533.5
15,415.5,679.5
16,206.8,383
17,326,680.5
18,350,680.2
19,331,609.5
20,170,486
21,254,430
22,197.5,372.4
23,179,441.2
24,198,361
25,493.5,683
26,396.5,683
27,187,426.3
28,198.5,454.5
29,381.8,560.8
30,225,317
31,178,382.1
32,144,285.5
33,160,349
34,360,680
35,268.7,419
36,364,681
37,232,495
38,256,549
39,422,681
40,410,680
41,137,287
42,230,338
43,225,310
44,201,309
45,196,315
46,172,390
47,184,252
48,275,285
49,193,375
50,218,357
51,182,263
52,221,287
53,389,680
54,104,224
55,114,247
56,172,257
57,137,233
58,406,519
59,203,315
60,224,426
61,532,679
62,256,443
63,73,650
64,300,677
65,553,638
66,186,292
67,250,600
68,590,600
69,290,600
70,280,600
71,290,600
72,150,600
73,170,600
74,500,600
75,140,600
76,140,600
77,170,600
78,400,
79,500,
80,110,
81,210,
82,310,
83,400,
84,250,
85,172,
86,235,
87,410,
88,220,
89,600,
90,550,
91,280,
92,290,
93,290,
94,410,
95,290,
96,240,
97,280,
98,330,
99,390,
100,360,
101,390,
102,240,
103,290,
104,270,
105,320,
106,470,
107,370,
108,230,
109,250,
110,350,
111,500,
112,290,
