droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
1,True,199.0,0.9991493250026252,3.687492106355193e-05,1.4887657790132553e-07,240.0,1.0,5.44242092480309e-07,1.5290646597741472e-05,1.4460729742981912e-19,3.7339325748376064e-21,0.9025677591414626,
2,True,143.0,0.9980446909284468,3.4407772619087595e-05,2.513642226354361e-07,101.0,1.0,5.24081434463665e-07,1.519545418499893e-05,3.0683155414632612e-19,8.544987473611774e-21,1.9150919295351934,
3,True,332.0,0.9980867961191668,2.3257710613151152e-05,1.4301821022666245e-07,111.0,1.0,4.2242605645275334e-07,1.4605187274442798e-05,1.4620229368753115e-19,4.0568967696715125e-21,0.9125229427577032,
4,True,92.0,0.9943551838666044,2.669342091818121e-05,4.179722248077383e-07,132.0,1.0,4.5591753363549575e-07,1.482316862886847e-05,1.5456459517670288e-19,4.585862173691657e-21,0.9647163233857453,
5,True,255.0,0.9981516620428588,2.445187005087959e-05,1.5113434836855698e-07,139.0,1.0,4.343276837443717e-07,1.4685733384043032e-05,1.2690034522915004e-19,3.4469555652968826e-21,0.7920496562999436,
6,True,449.0,0.9976983643217668,2.6937531313602723e-05,8.972375369022644e-08,166.0,1.0,4.5821369652121536e-07,1.4837168731264777e-05,1.2477316167229712e-19,3.296761775723677e-21,0.7787728208268023,
7,True,196.0,0.9997560883107776,4.159021704212625e-05,9.529295596049913e-08,242.5,1.0,5.809932881949603e-07,1.5449831193115283e-05,1.7411118496517258e-19,4.451281771290154e-21,1.086716540925241,
8,True,237.0,0.99935713497045,4.0155874018914674e-05,1.5178608380035676e-07,250.5,1.0,5.700433594364695e-07,1.540420868149202e-05,1.5919924748430998e-19,4.090104018148545e-21,0.9936435478206456,
9,True,113.0,0.9996553171468812,6.835027611509878e-05,2.8115101521302135e-07,554.6,1.0,7.586370146393567e-07,1.6028780383159108e-05,1.6949125232344988e-19,4.248447769058392e-21,1.0578811894185314,
10,True,180.0,0.9996245412742382,5.313265924886236e-05,2.0066737907367265e-07,430.0,1.0,6.630410747370026e-07,1.5750415275993826e-05,1.459411999256346e-19,3.685902853600433e-21,0.9108933236735408,
11,True,195.0,0.9991148105198382,3.913783093996064e-05,2.053863042311871e-07,231.6,1.0,5.621532890446596e-07,1.537041005248952e-05,1.651394299444372e-19,4.2832087689597596e-21,1.0307192505494822,
12,True,260.0,0.9940667710780668,2.1620667617446853e-05,2.3223017165759723e-07,120.0,1.0,4.0560906345305683e-07,1.4485013231122703e-05,1.197200183638445e-19,3.422258225162328e-21,0.7472335810125446,
