droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
1,True,True,199,252,0.9991493250026252,0.9993177385632253,3.687492106355193e-05,5.393142016233897e-05,1.4887657790132553e-07,2.329179953966941e-07,539.0,5.44242092480309e-07,1.5290646597741472e-05,1.5856150681429792e-19,7.796564788994075e-22,0.9896630836416126
2,True,True,143,241,0.9980446909284468,0.997879199154455,3.4407772619087595e-05,2.975747976026612e-05,2.513642226354361e-07,1.803177562117827e-07,197.8,5.24081434463665e-07,1.519545418499893e-05,2.92171905931534e-19,2.63658530237554e-21,1.823593602174166
3,True,True,332,276,0.9980867961191668,0.995065021678746,2.3257710613151152e-05,1.886542398523614e-05,1.4301821022666245e-07,2.0327749134704643e-07,216.0,4.2242605645275334e-07,1.4605187274442798e-05,1.3607462089970743e-19,1.2130575796415888e-21,0.8493109811493321
4,True,True,92,136,0.9943551838666044,0.9984896768166068,2.669342091818121e-05,2.1671419080468424e-05,4.179722248077383e-07,1.4019682880511464e-07,255.4,4.5591753363549575e-07,1.482316862886847e-05,1.4474000379362657e-19,2.769324934171601e-21,0.9033960471154054
5,True,True,255,214,0.9981516620428588,0.9974813793909276,2.445187005087959e-05,3.071800043902234e-05,1.5113434836855698e-07,1.989922061770017e-07,295.4,4.343276837443717e-07,1.4685733384043032e-05,1.3472773178267382e-19,1.0413172827885964e-21,0.8409043605030744
6,True,True,449,397,0.9976983643217668,0.9898982032563348,2.6937531313602723e-05,1.2212902414560837e-05,8.972375369022644e-08,1.167451528297532e-07,214.6,4.5821369652121536e-07,1.4837168731264777e-05,1.4027437287562344e-19,7.542262901388613e-22,0.8755237712174965
7,True,True,196,285,0.9997560883107776,0.9990530031710588,4.159021704212625e-05,2.968748280050877e-05,9.529295596049913e-08,9.47582387935942e-08,461.7,5.809932881949603e-07,1.5449831193115283e-05,1.5672599267831454e-19,4.8148965223956905e-22,0.9782067055055713
8,True,True,237,301,0.99935713497045,0.9942048478711556,4.0155874018914674e-05,3.72280894630051e-05,1.5178608380035676e-07,4.548261050204532e-07,521.4,5.700433594364695e-07,1.540420868149202e-05,1.47393930672324e-19,1.0763103999891812e-21,0.9199605558117508
9,True,True,113,552,0.9996553171468812,0.9964254004078756,6.835027611509878e-05,1.2131626519923833e-05,2.8115101521302135e-07,6.01218605666264e-08,681.4,7.586370146393567e-07,1.6028780383159108e-05,1.6243626168007582e-19,9.7456035774197e-22,1.0138474012976764
10,True,True,180,307,0.9996245412742382,0.9972647800728066,5.313265924886236e-05,3.178344846347448e-05,2.0066737907367265e-07,2.190689730663023e-07,680.0,6.630410747370026e-07,1.5750415275993826e-05,1.474911569271729e-19,7.869834713077483e-22,0.9205673943636661
11,True,True,195,264,0.9991148105198382,0.9989460862168842,3.913783093996064e-05,3.207151409149986e-05,2.053863042311871e-07,1.4711754360718338e-07,432.6,5.621532890446596e-07,1.537041005248952e-05,1.6085814618550653e-19,1.0490579877171572e-21,1.0039975791177749
12,True,True,260,200,0.9940667710780668,0.9992777990753768,2.1620667617446853e-05,3.149183839411103e-05,2.3223017165759723e-07,1.443261751376181e-07,259.7,4.0560906345305683e-07,1.4485013231122703e-05,1.358950895596269e-19,1.6190016210194372e-21,0.8481904346610694
13,True,True,200,124,0.9995876967685432,0.9985562981829484,4.11739556874542e-05,5.649233147418573e-05,1.565380993786149e-07,4.2717275923506274e-07,677.5,5.778350749662362e-07,1.543682221728058e-05,1.4542851007763411e-19,8.602466821046024e-22,0.9076933653348619
14,True,True,151,308,0.999038212833327,0.9990661022400033,4.030419027611844e-05,3.57495980770369e-05,1.994958937863408e-07,1.7421351944437397e-07,533.5,5.711845237950711e-07,1.540903202576785e-05,1.4190267782018542e-19,8.753882640074398e-22,0.8856868513049693
