droplet_number,v_down_mps_wls,v_down_stderr_wls,R2_down,chi2red_down,N_down,v_up_mps_wls,v_up_stderr_wls,R2_up,chi2red_up,N_up,v_down_mps_ols,v_down_stderr_ols,v_up_mps_ols,v_up_stderr_ols,ok_down,ok_up
1,3.687492106355193e-05,1.4887657790132553e-07,0.9991493250026251,5.903924247909057,199,5.393142016233897e-05,2.3291799539669407e-07,0.9993177385632253,20.676562789850227,252,3.7000767239460744e-05,7.613393072109477e-08,5.350403393015551e-05,8.363937059517729e-08,True,True
2,3.4407772619087595e-05,2.513642226354361e-07,0.9980446909284467,8.68651752198644,143,2.975747976026612e-05,1.803177562117827e-07,0.997879199154455,42.28784390421566,241,3.409375023676214e-05,1.2429294137541428e-07,2.9834845934902496e-05,8.711579914208828e-08,True,True
3,2.3257710613151152e-05,1.4301821022666245e-07,0.9980867961191667,24.888592791752544,332,1.886542398523614e-05,2.0327749134704637e-07,0.995065021678746,29.42257682018161,276,2.3440187819760473e-05,5.536661504761471e-08,1.8651313370352753e-05,7.809160610425376e-08,True,True
4,2.669342091818121e-05,4.1797222480773824e-07,0.9943551838666043,4.25799905469589,92,2.1671419080468424e-05,1.4019682880511464e-07,0.9984896768166067,1.4427499444582086,136,2.6724435344566915e-05,2.0611763539530617e-07,2.169509858968861e-05,7.2828385825899e-08,True,True
5,2.445187005087959e-05,1.5113434836855695e-07,0.9981516620428588,13.075698728098258,255,3.071800043902234e-05,1.989922061770017e-07,0.9974813793909277,37.701043666374844,214,2.4414417398546353e-05,6.511868309783662e-08,3.021656934064217e-05,9.740088399396634e-08,True,True
6,2.6937531313602723e-05,8.972375369022644e-08,0.9976983643217668,49.139216515251164,449,1.2212902414560835e-05,1.167451528297532e-07,0.9898982032563347,43.222648378674165,397,2.6708879928534722e-05,5.927104442622157e-08,1.2682364394632437e-05,5.8410872570603565e-08,True,True
7,4.159021704212625e-05,9.529295596049913e-08,0.9997560883107776,3.6799292392235263,196,2.968748280050877e-05,9.47582387935942e-08,0.9990530031710588,13.676633947200495,285,4.158177823738152e-05,4.65775877833512e-08,2.994200872401251e-05,5.1913270487641675e-08,True,True
8,4.0155874018914674e-05,1.5178608380035676e-07,0.9993571349704499,12.009391192468945,237,3.72280894630051e-05,4.548261050204532e-07,0.9942048478711556,131.4050475188628,301,4.028271979166131e-05,6.606212907777176e-08,3.8532925568194336e-05,1.501958520180717e-07,True,True
9,6.835027611509878e-05,2.8115101521302135e-07,0.9996553171468813,1.9491485099784567,113,1.2131626519923833e-05,6.01218605666264e-08,0.9964254004078756,29.440571757552004,552,6.811238656546055e-05,1.177887895755476e-07,1.2170258881893792e-05,3.0779602129802916e-08,True,True
10,5.313265924886236e-05,2.0066737907367265e-07,0.9996245412742382,6.696205655747673,180,3.178344846347448e-05,2.1906897306630227e-07,0.9972647800728066,46.888723689265554,307,5.3290541572587326e-05,7.633044386457497e-08,3.118550670763738e-05,8.4986360587287e-08,True,True
11,3.913783093996064e-05,2.053863042311871e-07,0.9991148105198382,12.830432252968265,195,3.207151409149986e-05,1.4711754360718336e-07,0.9989460862168842,27.849187460303206,264,3.932433828774602e-05,8.287674987950074e-08,3.233229751810711e-05,6.27404757054966e-08,True,True
12,2.1620667617446853e-05,2.3223017165759717e-07,0.9940667710780668,66.35451084229368,260,3.149183839411103e-05,1.443261751376181e-07,0.9992777990753768,14.449224536451991,200,2.1520054610240294e-05,1.0278570009779222e-07,3.159856400256162e-05,5.975984559445943e-08,True,True
