droplet_number,v_down_mps_wls,v_down_stderr_wls,R2_down,chi2red_down,N_down,v_up_mps_wls,v_up_stderr_wls,R2_up,chi2red_up,N_up,v_down_mps_ols,v_down_stderr_ols,v_up_mps_ols,v_up_stderr_ols,ok_down,ok_up
1,3.6791032912375266e-05,8.118877243264523e-08,0.999071792530862,7.3860654091919296,211,5.384797355763991e-05,8.00151689097938e-08,0.9993469478363517,22.480004023238063,252,3.698942566867093e-05,7.674433097896642e-08,5.350403393015551e-05,8.363937059517729e-08,True,True
2,3.430208838858562e-05,1.1288435712277314e-07,0.9981707682965363,10.52101995748955,155,2.947293449284981e-05,9.862877965400656e-08,0.9978104845000532,47.234585636468736,241,3.408068358440573e-05,1.1658005860513769e-07,2.9834845934902496e-05,8.711579914208828e-08,True,True
3,2.3316341057893155e-05,5.381938975216813e-08,0.998132477527575,27.383667358703583,332,1.8886505001717352e-05,8.099870076570281e-08,0.9950613799134357,32.0799319859056,276,2.3440187819760473e-05,5.536661504761471e-08,1.8651313370352753e-05,7.809160610425376e-08,True,True
4,2.6774021160588623e-05,2.0771390725249182e-07,0.994503736918653,4.247741266983757,91,2.1751210956340394e-05,6.987161479800923e-08,0.9984832067465519,1.810012169131861,148,2.6701642838766567e-05,2.1026874608964935e-07,2.171476524304904e-05,6.997864824749953e-08,True,True
5,2.443467712822361e-05,6.816747094390751e-08,0.9982025199447052,13.733600388252944,255,3.0470348658916698e-05,8.883594533675968e-08,0.997730064297719,42.1974763010456,214,2.4414417398546353e-05,6.511868309783662e-08,3.021656934064217e-05,9.740088399396634e-08,True,True
6,2.6804706304115322e-05,4.732648214689317e-08,0.9977904120691665,52.01744693899789,449,1.2507581597041395e-05,5.366386021513745e-08,0.9914935447879863,41.78757587390496,397,2.6708879928534722e-05,5.927104442622157e-08,1.2682364394632437e-05,5.8410872570603565e-08,True,True
7,4.14317826852458e-05,5.0410012793543925e-08,0.9997293805865074,4.473829417278317,206,2.9809112240306674e-05,4.608353722782471e-08,0.9991292564248482,14.624924133139777,285,4.147030475727363e-05,4.768650234363959e-08,2.994200872401251e-05,5.1913270487641675e-08,True,True
8,4.0147740918476176e-05,7.577715260839658e-08,0.9993564094207866,13.013008044318292,237,3.739327331265088e-05,1.4759217226635671e-07,0.9945352078407491,142.87579570159446,301,4.028271979166131e-05,6.606212907777176e-08,3.8532925568194336e-05,1.501958520180717e-07,True,True
9,6.825031284198508e-05,1.1578771835483217e-07,0.9996605324762733,2.0494212635749114,114,1.229397181792208e-05,3.3490793857104925e-08,0.996391371696903,28.924474171030518,552,6.806518545750233e-05,1.1721817139412284e-07,1.2170258881893792e-05,3.0779602129802916e-08,True,True
10,5.3108462650239144e-05,7.15582709895785e-08,0.9996543340226272,7.50877727108505,192,3.152002753058293e-05,7.856731143944602e-08,0.9976247283243604,48.632359363199306,307,5.330734095476183e-05,7.038497766155022e-08,3.118550670763738e-05,8.4986360587287e-08,True,True
11,3.914824253693237e-05,8.487460956601896e-08,0.9991090217977303,14.058114344886583,194,3.222288724743739e-05,6.436954526477524e-08,0.9990026308996869,32.921331996966764,264,3.932458533893369e-05,8.373547522872811e-08,3.233229751810711e-05,6.27404757054966e-08,True,True
12,2.183427280931141e-05,1.0874004438680067e-07,0.9939366964335267,75.20335772964067,260,3.146948934546538e-05,6.02699865167061e-08,0.9993042219330758,18.71245380854353,211,2.1520054610240294e-05,1.0278570009779222e-07,3.1592129144217135e-05,5.6953228910765626e-08,True,True
13,4.1226150438631504e-05,5.625467817041097e-08,0.9996287584821687,8.841895900638857,209,5.6754496818428735e-05,1.9289165409455267e-07,0.998650078830517,37.16917698877286,129,4.115515051749871e-05,5.4900330438749926e-08,5.6258278003302584e-05,1.7795312392203314e-07,True,True
14,4.0725536446275314e-05,1.0045136395238766e-07,0.9990595756244903,4.905167801138568,163,3.572189191822259e-05,6.494234282039079e-08,0.999055303608314,37.927880532077864,308,4.0707904522808e-05,9.84194180395751e-08,3.593267995089569e-05,6.185527874777139e-08,True,True
15,5.353625200142518e-05,6.077517830570548e-08,0.9996690323711148,6.3221855604940025,212,3.3219889177653404e-05,1.2975973558319694e-07,0.9970737446079242,31.64745647442054,202,5.377136390177437e-05,6.545826346929984e-08,3.358530937731213e-05,1.2590611693829253e-07,True,True
16,3.057197915381403e-05,6.607470495713216e-08,0.999159043389292,4.838695856889565,184,3.155269664506524e-05,4.934943280010884e-08,0.9994131795632426,11.76937753831322,248,3.047773704402358e-05,6.516781288719136e-08,3.1486329481234515e-05,4.8459564424477504e-08,True,True
17,4.788520848721626e-05,6.934729280516492e-08,0.9996131519072297,5.118815481263915,177,4.9889303860150294e-05,1.275023653916949e-07,0.9993602729238954,3.3966014931168638,96,4.778510386965923e-05,7.065480498346273e-08,4.98224832004675e-05,1.2983326803929385e-07,True,True
18,4.946013472781048e-05,8.868631704556969e-08,0.9990525645079774,16.288052903015714,250,4.636463545253644e-05,1.6643231886912423e-07,0.9988241352266197,18.391949511548173,127,4.897820395895567e-05,9.068920619150109e-08,4.6625557021718425e-05,1.4107217974357382e-07,True,True
19,4.306781484567495e-05,1.144621117248288e-07,0.9987116407436758,14.18809755070091,192,3.926944764282343e-05,4.536191567656352e-08,0.9996492203091087,9.601373513498878,268,4.266228618856935e-05,1.0717924720751788e-07,3.9115365457112246e-05,4.389146094163149e-08,True,True
